step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
71,70.960,5.230,19.164,7.075,-0.018,0.031,0.235,0.971,-0.646,0.002,-0.041,14.567,-0.018,0.031,0.235,0.971,0.000,-0.001,-0.002,0.681,0.201,-9.782
72,71.729,5.671,19.393,7.072,-0.018,0.031,0.234,0.972,-0.646,0.002,-0.042,14.275,-0.018,0.031,0.234,0.972,0.000,-0.001,-0.002,0.670,0.201,-9.783
73,72.899,6.343,19.738,7.072,-0.018,0.031,0.232,0.972,-0.647,0.002,-0.045,13.468,-0.018,0.031,0.232,0.972,0.000,0.001,-0.002,0.677,0.201,-9.783
74,74.102,7.036,20.092,7.072,-0.018,0.031,0.231,0.972,-0.647,0.002,-0.045,14.455,-0.018,0.031,0.231,0.972,0.000,-0.000,-0.003,0.672,0.201,-9.784
75,74.938,7.518,20.336,7.074,-0.019,0.037,0.230,0.972,-0.648,0.002,-0.051,14.796,-0.019,0.037,0.230,0.972,-0.000,0.048,0.000,0.780,0.201,-9.765
76,75.707,7.958,20.559,7.078,-0.022,0.050,0.229,0.972,-0.640,0.001,-0.071,14.614,-0.022,0.050,0.229,0.972,0.000,0.005,-0.003,1.052,0.202,-9.759
77,76.877,8.629,20.895,7.077,-0.020,0.039,0.228,0.973,-0.639,0.002,-0.052,14.695,-0.020,0.039,0.228,0.973,0.000,-0.008,-0.003,0.833,0.201,-9.774
78,78.047,9.299,21.229,7.071,-0.021,0.045,0.226,0.973,-0.641,0.002,-0.053,14.697,-0.021,0.045,0.226,0.973,0.000,0.007,-0.003,0.947,0.202,-9.767
79,79.217,9.991,21.571,7.061,-0.020,0.042,0.224,0.973,-0.641,0.002,-0.052,14.804,-0.020,0.042,0.224,0.973,0.000,-0.005,-0.002,0.898,0.201,-9.767
80,80.420,10.684,21.910,7.054,-0.021,0.044,0.223,0.974,-0.642,0.002,-0.056,14.673,-0.021,0.044,0.223,0.974,0.000,0.003,-0.002,0.929,0.201,-9.761
81,81.589,11.361,22.240,7.053,-0.021,0.043,0.223,0.974,-0.642,0.001,-0.062,14.178,-0.021,0.043,0.223,0.974,0.000,-0.002,-0.001,0.919,0.202,-9.760
82,82.425,11.844,22.475,7.056,-0.020,0.043,0.223,0.974,-0.642,0.001,-0.064,14.368,-0.020,0.043,0.223,0.974,0.000,0.001,-0.001,0.915,0.202,-9.762
